f_hz,Z_mag_meas,Z_phase_deg_meas,Z_mag_true,Z_phase_deg_true
10.000000,13821.44695171,-91.53775719,15922.43257501,-88.30849159
11.677986,15906.87289561,-88.74571534,13636.73095761,-88.02486749
13.637536,15827.42490579,-100.40118708,11679.81924787,-87.69377516
15.925896,11384.75941956,-110.67060226,10004.51476274,-87.30732252
18.598240,7640.49388581,-101.40941712,8570.42438599,-86.85633626
21.718999,7464.33295347,-86.05875119,7342.97056712,-86.33017216
25.363417,7550.83486142,-95.00057584,6292.55748042,-85.71650825
29.619363,5109.09754071,-93.82571479,5393.85720735,-85.00112634
34.589451,5221.00309933,-85.15081795,4625.19868039,-84.16769310
40.393514,3879.47089213,-89.90276972,3968.04457657,-83.19756027
47.171490,3833.92528145,-85.77626169,3406.54342731,-82.06961765
55.086801,3046.49532827,-79.72273689,2927.14596306,-80.76025195
64.330290,2506.62854555,-79.63261054,2518.27617301,-79.24349324
75.124824,2163.59127690,-77.80770214,2170.04876223,-77.49146790
87.730666,1924.97231993,-74.28671171,1874.02566403,-75.47532092
102.451751,1722.92721431,-74.51404380,1623.00505817,-73.16681106
119.643014,1425.18829262,-69.64444275,1410.83703484,-70.54079726
139.718947,1232.07120567,-67.76571644,1232.26076300,-67.57877918
163.163594,1092.10816313,-63.39337274,1082.75898175,-64.27346877
190.542221,979.41412994,-61.41651616,958.42708679,-60.63399147
222.514943,873.62958164,-57.19276522,855.85619498,-56.69075472
259.852645,773.73720996,-52.02279101,772.03213290,-52.49844568
303.455561,706.66970607,-47.64625557,704.25444943,-48.13541018
354.374986,651.17126386,-43.87832317,650.07986437,-43.69826299
413.838621,612.96917423,-39.04382769,607.29187671,-39.29208574
483.280172,574.80679357,-35.15292848,573.89300785,-35.01838191
564.373920,551.02207116,-30.79785879,548.11084345,-30.96399440
659.075087,529.06129975,-27.03933903,528.40674018,-27.19373835
769.666979,515.24513379,-23.68895258,513.47803321,-23.74787712
898.816039,503.53742522,-20.59698089,502.24935062,-20.64382207
1049.636134,494.80531577,-17.84746746,493.85347734,-17.88043877
1225.763632,487.83162489,-15.47215747,487.60517375,-15.44326307
1431.445083,483.00581509,-13.31801305,482.97211200,-13.30941072
1671.639598,479.68771769,-11.42154702,479.54638137,-11.45156434
1952.138422,477.16455236,-9.81772349,477.01876113,-9.84088335
2279.704562,475.30263030,-8.45578335,475.15678790,-8.44894253
2662.235850,473.83439782,-7.23591409,473.78680817,-7.24890635
3108.955362,472.85543552,-6.21931481,472.77972004,-6.21615388
3630.633793,472.04615277,-5.32207585,472.03988686,-5.32853525
4239.849147,471.53348016,-4.56777106,471.49665146,-4.56639639
4951.289998,471.11463054,-3.91344381,471.09791501,-3.91246786
5782.109646,470.80221157,-3.35124650,470.80531883,-3.35168196
6752.339687,470.58443865,-2.86953920,470.59065113,-2.87095866
7885.372993,470.43508402,-2.45648634,470.43317944,-2.45898516
9208.527729,470.31203623,-2.10448658,470.31767663,-2.10600336
10753.706008,470.23993842,-1.80303850,470.23296382,-1.80361261
12558.163077,470.16461652,-1.54333340,470.17083673,-1.54459122
14665.405558,470.12082577,-1.32281898,470.12527557,-1.32273749
17126.240427,470.08832591,-1.13135566,470.09186412,-1.13272969
20000.000000,470.04597755,-0.96825813,470.06736298,-0.97000376
